Species,Feret
P.bracetosa,43.24
P.bracetosa,43.34
P.bracetosa,43.9
P.bracetosa,44.47
P.bracetosa,44.92
P.bracetosa,45.12
P.bracetosa,45.57
P.bracetosa,45.72
P.bracetosa,45.87
P.bracetosa,45.97
P.bracetosa,46.9
P.bracetosa,47.14
P.bracetosa,47.28
P.bracetosa,47.28
P.bracetosa,47.62
P.bracetosa,47.73
P.bracetosa,47.86
P.bracetosa,47.86
P.bracetosa,48.56
P.bracetosa,49.39
P.bracetosa,49.67
P.bracetosa,49.91
P.bracetosa,50
P.bracetosa,50.23
P.bracetosa,50.26
P.bracetosa,51.39
P.bracetosa,51.55
P.bracetosa,51.55
P.bracetosa,52.21
P.bracetosa,52.38
P.bracetosa,52.6
P.bracetosa,52.6
P.bracetosa,52.68
P.bracetosa,52.68
P.bracetosa,53.75
P.bracetosa,54.29
P.bracetosa,54.29
P.bracetosa,54.42
P.bracetosa,54.42
P.bracetosa,54.42
P.bracetosa,54.58
P.bracetosa,54.58
P.bracetosa,54.96
P.bracetosa,55.01
P.bracetosa,55.74
P.bracetosa,55.79
P.bracetosa,56.22
P.bracetosa,56.7
P.bracetosa,56.82
P.bracetosa,56.87
P.bracetosa,57.07
P.bracetosa,57.34
P.bracetosa,57.34
P.bracetosa,57.54
P.bracetosa,57.63
P.bracetosa,58.9
P.bracetosa,58.91
P.bracetosa,59.05
P.bracetosa,59.52
P.bracetosa,59.97
P.bracetosa,60.27
P.bracetosa,60.28
P.bracetosa,60.98
P.bracetosa,61.55
P.bracetosa,61.62
P.bracetosa,62.5
P.bracetosa,62.6
P.bracetosa,62.86
P.bracetosa,62.92
P.bracetosa,63.06
P.bracetosa,63.53
P.bracetosa,63.72
P.bracetosa,63.79
P.bracetosa,63.79
P.bracetosa,63.89
P.bracetosa,63.92
P.bracetosa,64.38
P.bracetosa,64.46
P.bracetosa,64.53
P.bracetosa,64.99
P.bracetosa,64.99
P.bracetosa,65.01
P.bracetosa,65.01
P.bracetosa,65.3
P.bracetosa,65.6
P.bracetosa,66.05
P.bracetosa,66.15
P.bracetosa,66.2
P.bracetosa,66.32
P.bracetosa,66.32
P.bracetosa,66.53
P.bracetosa,66.7
P.bracetosa,66.84
P.bracetosa,66.87
P.bracetosa,66.87
P.bracetosa,67.22
P.bracetosa,67.34
P.bracetosa,67.34
P.bracetosa,68.05
P.bracetosa,68.18
P.bracetosa,68.18
P.bracetosa,68.58
P.bracetosa,68.68
P.bracetosa,68.68
P.bracetosa,68.97
P.bracetosa,69.37
P.bracetosa,69.76
P.bracetosa,69.85
P.bracetosa,70.31
P.bracetosa,70.96
P.bracetosa,71.17
P.bracetosa,72.51
P.bracetosa,72.57
P.bracetosa,72.84
P.bracetosa,73.13
P.bracetosa,73.28
P.bracetosa,73.28
P.bracetosa,73.52
P.bracetosa,73.52
P.bracetosa,73.92
P.bracetosa,74.08
P.bracetosa,74.08
P.bracetosa,74.29
P.bracetosa,74.42
P.bracetosa,74.53
P.bracetosa,75.02
P.bracetosa,75.26
P.bracetosa,75.26
P.bracetosa,75.78
P.bracetosa,76.25
P.bracetosa,76.34
P.bracetosa,76.46
P.bracetosa,76.67
P.bracetosa,76.96
P.bracetosa,77.4
P.bracetosa,77.98
P.bracetosa,78.1
P.bracetosa,78.13
P.bracetosa,78.3
P.bracetosa,78.31
P.bracetosa,78.53
P.bracetosa,78.82
P.bracetosa,78.82
P.bracetosa,78.89
P.bracetosa,79.02
P.bracetosa,79.02
P.bracetosa,79.22
P.bracetosa,79.57
P.bracetosa,79.66
P.bracetosa,79.74
P.bracetosa,80.05
P.bracetosa,80.11
P.bracetosa,80.5
P.bracetosa,80.65
P.bracetosa,80.95
P.bracetosa,81.09
P.bracetosa,81.09
P.bracetosa,81.95
P.bracetosa,82.26
P.bracetosa,82.26
P.bracetosa,82.7
P.bracetosa,83.3
P.bracetosa,83.41
P.bracetosa,83.49
P.bracetosa,83.96
P.bracetosa,84.14
P.bracetosa,84.31
P.bracetosa,84.78
P.bracetosa,85.43
P.bracetosa,85.66
P.bracetosa,85.74
P.bracetosa,85.84
P.bracetosa,86.24
P.bracetosa,86.24
P.bracetosa,86.27
P.bracetosa,86.41
P.bracetosa,88.16
P.bracetosa,88.34
P.bracetosa,88.61
P.bracetosa,88.61
P.bracetosa,88.63
P.bracetosa,88.93
P.bracetosa,89.19
P.bracetosa,89.47
P.bracetosa,89.57
P.bracetosa,89.87
P.bracetosa,90.47
P.bracetosa,90.97
P.bracetosa,91.92
P.bracetosa,92.22
P.bracetosa,92.85
P.bracetosa,93.41
P.bracetosa,93.55
P.bracetosa,94.3
P.bracetosa,95.07
P.bracetosa,95.07
P.bracetosa,95.24
P.bracetosa,95.36
P.bracetosa,95.63
P.bracetosa,95.83
P.bracetosa,96.09
P.bracetosa,96.28
P.bracetosa,96.49
P.bracetosa,96.49
P.bracetosa,97.52
P.bracetosa,97.54
P.bracetosa,97.73
P.bracetosa,98.17
P.bracetosa,98.81
P.bracetosa,99.09
P.bracetosa,99.09
P.bracetosa,99.46
P.bracetosa,100.36
P.bracetosa,100.52
P.bracetosa,100.77
P.bracetosa,100.84
P.bracetosa,101.17
P.bracetosa,101.17
P.bracetosa,101.17
P.bracetosa,101.24
P.bracetosa,101.6
P.bracetosa,102.26
P.bracetosa,102.57
P.bracetosa,103.01
P.bracetosa,103.21
P.bracetosa,103.3
P.bracetosa,103.6
P.bracetosa,103.63
P.bracetosa,104.14
P.bracetosa,104.14
P.bracetosa,105.21
P.bracetosa,105.39
P.bracetosa,105.73
P.bracetosa,105.76
P.bracetosa,106.94
P.bracetosa,107.09
P.bracetosa,107.18
P.bracetosa,107.18
P.bracetosa,107.43
P.bracetosa,107.56
P.bracetosa,107.56
P.bracetosa,107.77
P.bracetosa,108.19
P.bracetosa,108.59
P.bracetosa,108.59
P.bracetosa,108.82
P.bracetosa,109.26
P.bracetosa,109.55
P.bracetosa,110.06
P.bracetosa,110.43
P.bracetosa,110.67
P.bracetosa,111.17
P.bracetosa,111.21
P.bracetosa,111.82
P.bracetosa,112
P.bracetosa,112.38
P.bracetosa,112.52
P.bracetosa,112.62
P.bracetosa,113.09
P.bracetosa,113.11
P.bracetosa,113.19
P.bracetosa,113.37
P.bracetosa,113.41
P.bracetosa,113.65
P.bracetosa,114.01
P.bracetosa,114.68
P.bracetosa,114.82
P.bracetosa,114.82
P.bracetosa,115.07
P.bracetosa,115.27
P.bracetosa,115.27
P.bracetosa,115.27
P.bracetosa,115.72
P.bracetosa,115.72
P.bracetosa,115.86
P.bracetosa,115.9
P.bracetosa,115.96
P.bracetosa,116.37
P.bracetosa,116.5
P.bracetosa,116.66
P.bracetosa,116.76
P.bracetosa,117.15
P.bracetosa,117.2
P.bracetosa,117.36
P.bracetosa,117.43
P.bracetosa,117.59
P.bracetosa,117.61
P.bracetosa,117.65
P.bracetosa,117.8
P.bracetosa,118.21
P.bracetosa,118.23
P.bracetosa,119.07
P.bracetosa,119.07
P.bracetosa,119.44
P.bracetosa,119.44
P.bracetosa,119.73
P.bracetosa,119.9
P.bracetosa,120.11
P.bracetosa,120.24
P.bracetosa,120.78
P.bracetosa,121.22
P.bracetosa,121.25
P.bracetosa,121.4
P.bracetosa,121.53
P.bracetosa,121.53
P.bracetosa,121.81
P.bracetosa,121.81
P.bracetosa,121.98
P.bracetosa,122.2
P.bracetosa,122.43
P.bracetosa,122.89
P.bracetosa,123.06
P.bracetosa,123.48
P.bracetosa,123.51
P.bracetosa,123.53
P.bracetosa,123.81
P.bracetosa,124.04
P.bracetosa,124.63
P.bracetosa,124.63
P.bracetosa,124.99
P.bracetosa,125
P.bracetosa,125.81
P.bracetosa,126.51
P.bracetosa,126.87
P.bracetosa,127.06
P.bracetosa,127.38
P.bracetosa,127.77
P.bracetosa,127.93
P.bracetosa,128.13
P.bracetosa,128.23
P.bracetosa,128.77
P.bracetosa,129.28
P.bracetosa,130.75
P.bracetosa,131.7
P.bracetosa,132.39
P.bracetosa,132.98
P.bracetosa,133.06
