Species,Feret
P.alata,33.691
P.alata,33.748
P.alata,33.825
P.alata,33.825
P.alata,33.825
P.alata,33.825
P.alata,33.951
P.alata,33.951
P.alata,34.069
P.alata,34.069
P.alata,34.069
P.alata,34.157
P.alata,34.379
P.alata,34.49
P.alata,34.729
P.alata,34.729
P.alata,34.729
P.alata,34.772
P.alata,34.789
P.alata,34.789
P.alata,34.919
P.alata,34.966
P.alata,34.966
P.alata,34.966
P.alata,34.966
P.alata,35.236
P.alata,35.273
P.alata,35.435
P.alata,35.494
P.alata,35.494
P.alata,35.494
P.alata,35.817
P.alata,35.959
P.alata,36.014
P.alata,36.185
P.alata,36.283
P.alata,36.303
P.alata,36.356
P.alata,36.356
P.alata,36.356
P.alata,36.356
P.alata,36.356
P.alata,36.356
P.alata,36.356
P.alata,36.356
P.alata,36.356
P.alata,36.384
P.alata,36.604
P.alata,36.639
P.alata,36.639
P.alata,36.639
P.alata,36.639
P.alata,36.923
P.alata,37.087
P.alata,37.116
P.alata,37.148
P.alata,37.309
P.alata,37.309
P.alata,37.309
P.alata,37.309
P.alata,37.309
P.alata,37.475
P.alata,37.475
P.alata,37.475
P.alata,37.475
P.alata,37.475
P.alata,37.475
P.alata,37.475
P.alata,37.664
P.alata,37.738
P.alata,37.784
P.alata,37.877
P.alata,37.968
P.alata,37.968
P.alata,38.046
P.alata,38.185
P.alata,38.185
P.alata,38.338
P.alata,38.347
P.alata,38.347
P.alata,38.347
P.alata,38.414
P.alata,38.561
P.alata,38.561
P.alata,38.561
P.alata,38.611
P.alata,38.828
P.alata,38.828
P.alata,39.187
P.alata,39.246
P.alata,39.252
P.alata,39.377
P.alata,39.461
P.alata,39.461
P.alata,39.673
P.alata,39.93
P.alata,40.033
P.alata,40.033
P.alata,40.033
P.alata,40.033
P.alata,40.033
P.alata,40.239
P.alata,40.239
P.alata,40.389
P.alata,40.421
P.alata,40.647
P.alata,40.647
P.alata,40.647
P.alata,40.647
P.alata,40.647
P.alata,40.778
P.alata,40.821
P.alata,40.901
P.alata,40.901
P.alata,40.914
P.alata,41.102
P.alata,41.121
P.alata,41.152
P.alata,41.334
P.alata,41.334
P.alata,41.616
P.alata,41.849
P.alata,41.849
P.alata,41.849
P.alata,41.849
P.alata,41.898
P.alata,41.898
P.alata,41.914
P.alata,42.077
P.alata,42.091
P.alata,42.133
P.alata,42.133
P.alata,42.399
P.alata,42.437
P.alata,42.437
P.alata,42.437
P.alata,42.63
P.alata,42.873
P.alata,42.873
P.alata,43.065
P.alata,43.209
P.alata,43.209
P.alata,43.209
P.alata,43.495
P.alata,43.779
P.alata,43.779
P.alata,43.779
P.alata,43.779
P.alata,43.779
P.alata,43.873
P.alata,43.967
P.alata,43.967
P.alata,43.967
P.alata,43.967
P.alata,43.967
P.alata,43.967
P.alata,44.077
P.alata,44.388
P.alata,44.573
P.alata,44.573
P.alata,44.602
P.alata,44.62
P.alata,44.758
P.alata,44.988
P.alata,45.126
P.alata,45.126
P.alata,45.445
P.alata,45.445
P.alata,45.445
P.alata,45.445
P.alata,45.445
P.alata,45.445
P.alata,45.445
P.alata,45.445
P.alata,45.601
P.alata,46.345
P.alata,46.345
P.alata,46.345
P.alata,46.345
P.alata,46.345
P.alata,46.345
P.alata,46.345
P.alata,46.345
P.alata,46.434
P.alata,46.603
P.alata,46.921
P.alata,46.921
P.alata,46.921
P.alata,47.403
P.alata,47.403
P.alata,47.403
P.alata,47.403
P.alata,47.446
P.alata,47.446
P.alata,47.446
P.alata,47.523
P.alata,47.577
P.alata,47.577
P.alata,47.577
P.alata,47.579
P.alata,47.966
P.alata,48.309
P.alata,48.48
P.alata,48.861
P.alata,48.946
P.alata,48.946
P.alata,49.114
P.alata,49.114
P.alata,49.196
P.alata,49.537
P.alata,49.616
P.alata,49.616
P.alata,49.616
P.alata,49.616
P.alata,49.616
P.alata,49.616
P.alata,49.616
P.alata,49.616
P.alata,49.808
P.alata,49.824
P.alata,49.99
P.alata,50.278
P.alata,50.287
P.alata,50.427
P.alata,50.461
P.alata,50.809
P.alata,50.809
P.alata,50.931
P.alata,50.931
P.alata,50.972
P.alata,51.415
P.alata,51.415
P.alata,52.054
P.alata,52.054
P.alata,52.054
P.alata,52.094
P.alata,52.449
P.alata,52.449
P.alata,52.842
P.alata,52.842
P.alata,52.842
P.alata,53.009
P.alata,53.281
P.alata,53.347
P.alata,53.47
P.alata,53.81
P.baileyi,8.406
P.baileyi,9.398
P.baileyi,9.398
P.baileyi,9.585
P.baileyi,10.96
P.baileyi,10.96
P.baileyi,11.888
P.baileyi,11.888
P.baileyi,12.036
P.baileyi,12.609
P.baileyi,12.609
P.baileyi,13.291
P.baileyi,13.554
P.baileyi,14.315
P.baileyi,15.155
P.baileyi,16.17
P.baileyi,16.813
P.baileyi,17.33
P.baileyi,17.33
P.baileyi,18.891
P.baileyi,19.981
P.baileyi,19.981
P.baileyi,20.331
P.baileyi,20.332
P.baileyi,20.332
P.baileyi,21.432
P.baileyi,21.432
P.baileyi,21.92
P.baileyi,22.634
P.baileyi,22.712
P.baileyi,23.25
P.baileyi,23.553
P.baileyi,23.553
P.baileyi,23.776
P.baileyi,24.436
P.baileyi,24.436
P.baileyi,24.436
P.baileyi,24.508
P.baileyi,24.724
P.baileyi,25.078
P.baileyi,25.218
P.baileyi,25.218
P.baileyi,25.567
P.baileyi,26.912
P.baileyi,26.913
P.baileyi,27.109
P.baileyi,27.109
P.baileyi,27.109
P.baileyi,27.368
P.baileyi,28.692
P.baileyi,28.692
P.baileyi,29.721
P.baileyi,29.721
P.baileyi,29.721
P.baileyi,29.721
P.baileyi,29.721
P.baileyi,30.367
P.baileyi,30.367
P.baileyi,31.001
P.bracetosa,16.632
P.bracetosa,17.169
P.bracetosa,17.169
P.bracetosa,17.169
P.bracetosa,17.169
P.bracetosa,17.169
P.bracetosa,17.169
P.bracetosa,17.169
P.bracetosa,17.169
P.bracetosa,17.202
P.bracetosa,17.333
P.bracetosa,17.463
P.bracetosa,17.463
P.bracetosa,17.561
P.bracetosa,17.561
P.bracetosa,17.561
P.bracetosa,17.721
P.bracetosa,17.849
P.bracetosa,17.849
P.bracetosa,18.07
P.bracetosa,18.195
P.bracetosa,18.195
P.bracetosa,18.195
P.bracetosa,18.195
P.bracetosa,18.195
P.bracetosa,18.195
P.bracetosa,18.195
P.bracetosa,18.319
P.bracetosa,18.319
P.bracetosa,18.319
P.bracetosa,18.319
P.bracetosa,18.319
P.bracetosa,18.319
P.bracetosa,18.319
P.bracetosa,18.319
P.bracetosa,18.319
P.bracetosa,18.319
P.bracetosa,18.319
P.bracetosa,18.595
P.bracetosa,18.595
P.bracetosa,18.595
P.bracetosa,19.047
P.bracetosa,19.047
P.bracetosa,19.047
P.bracetosa,19.047
P.bracetosa,19.047
P.bracetosa,19.047
P.bracetosa,19.047
P.bracetosa,19.047
P.bracetosa,19.047
P.bracetosa,19.047
P.bracetosa,19.047
P.bracetosa,19.047
P.bracetosa,19.047
P.bracetosa,19.047
P.bracetosa,19.047
P.bracetosa,19.195
P.bracetosa,19.195
P.bracetosa,19.547
P.bracetosa,19.547
P.bracetosa,19.547
P.bracetosa,19.547
P.bracetosa,19.547
P.bracetosa,19.633
P.bracetosa,19.633
P.bracetosa,19.633
P.bracetosa,19.633
P.bracetosa,19.633
P.bracetosa,19.633
P.bracetosa,19.633
P.bracetosa,19.633
P.bracetosa,19.633
P.bracetosa,19.633
P.bracetosa,19.891
P.bracetosa,20.09
P.bracetosa,20.09
P.bracetosa,20.09
P.bracetosa,20.09
P.bracetosa,20.09
P.bracetosa,20.09
P.bracetosa,20.09
P.bracetosa,20.09
P.bracetosa,20.09
P.bracetosa,20.09
P.bracetosa,20.09
P.bracetosa,20.09
P.bracetosa,20.09
P.bracetosa,20.09
P.bracetosa,20.09
P.bracetosa,20.203
P.bracetosa,20.203
P.bracetosa,20.203
P.bracetosa,20.203
P.bracetosa,20.203
P.bracetosa,20.203
P.bracetosa,20.203
P.bracetosa,20.203
P.bracetosa,20.342
P.bracetosa,20.564
P.bracetosa,20.564
P.bracetosa,20.564
P.bracetosa,20.674
P.bracetosa,20.674
P.bracetosa,20.973
P.bracetosa,20.973
P.bracetosa,20.973
P.bracetosa,20.973
P.bracetosa,20.973
P.bracetosa,20.973
P.bracetosa,20.973
P.bracetosa,20.973
P.bracetosa,21.295
P.bracetosa,21.295
P.bracetosa,21.295
P.bracetosa,21.295
P.bracetosa,21.295
P.bracetosa,21.295
P.bracetosa,21.295
P.bracetosa,21.295
P.bracetosa,21.295
P.bracetosa,21.295
P.bracetosa,21.295
P.bracetosa,21.402
P.bracetosa,21.428
P.bracetosa,21.428
P.bracetosa,21.428
P.bracetosa,21.717
P.bracetosa,21.717
P.bracetosa,21.717
P.bracetosa,21.925
P.bracetosa,21.925
P.bracetosa,21.925
P.bracetosa,21.925
P.bracetosa,21.925
P.bracetosa,21.925
P.bracetosa,21.951
P.bracetosa,21.951
P.bracetosa,22.233
P.bracetosa,22.233
P.bracetosa,22.233
P.bracetosa,22.233
P.bracetosa,22.233
P.bracetosa,22.233
P.bracetosa,22.233
