Species,Wide_Vessel_Diameter
P.weinmaniifolia_RX,101.17
P.weinmaniifolia_VX,101.71
P.weinmaniifolia_VX,102.17
P.weinmaniifolia_RX,102.91
P.weinmaniifolia_VX,103.23
P.weinmaniifolia_RX,103.25
P.weinmaniifolia_VX,103.25
P.weinmaniifolia_VX,103.43
P.weinmaniifolia_RX,103.81
P.weinmaniifolia_VX,103.81
P.weinmaniifolia_VX,104.03
P.weinmaniifolia_VX,104.32
P.weinmaniifolia_VX,105.02
P.weinmaniifolia_RX,105.38
P.weinmaniifolia_RX,105.38
P.weinmaniifolia_RX,105.46
P.weinmaniifolia_VX,105.46
P.weinmaniifolia_RX,105.73
P.weinmaniifolia_RX,105.73
P.weinmaniifolia_RX,105.92
P.weinmaniifolia_RX,106.16
P.weinmaniifolia_VX,107.38
P.weinmaniifolia_VX,107.53
P.weinmaniifolia_RX,107.55
P.weinmaniifolia_RX,107.61
P.weinmaniifolia_RX,107.87
P.weinmaniifolia_VX,108.06
P.weinmaniifolia_VX,108.06
P.weinmaniifolia_VX,108.89
P.weinmaniifolia_RX,109.51
P.weinmaniifolia_RX,109.7
P.weinmaniifolia_RX,109.7
P.weinmaniifolia_VX,109.7
P.weinmaniifolia_VX,109.76
P.weinmaniifolia_VX,110.01
P.weinmaniifolia_RX,110.2
P.weinmaniifolia_RX,110.58
P.weinmaniifolia_RX,111.77
P.weinmaniifolia_RX,111.83
P.weinmaniifolia_RX,111.85
P.weinmaniifolia_VX,111.85
P.weinmaniifolia_RX,112.2
P.weinmaniifolia_RX,112.2
P.weinmaniifolia_RX,112.53
P.weinmaniifolia_VX,112.53
P.weinmaniifolia_RX,112.57
P.weinmaniifolia_RX,112.57
P.weinmaniifolia_VX,112.57
P.weinmaniifolia_RX,113.18
P.weinmaniifolia_VX,113.82
P.weinmaniifolia_RX,113.98
P.weinmaniifolia_RX,113.98
P.weinmaniifolia_RX,114
P.weinmaniifolia_RX,114
P.weinmaniifolia_VX,114
P.weinmaniifolia_RX,114.06
P.weinmaniifolia_VX,114.16
P.weinmaniifolia_RX,115.27
P.weinmaniifolia_VX,116.31
P.weinmaniifolia_RX,116.45
P.weinmaniifolia_VX,116.57
P.weinmaniifolia_RX,116.84
P.weinmaniifolia_RX,117.4
P.weinmaniifolia_RX,117.4
P.weinmaniifolia_VX,118.1
P.weinmaniifolia_VX,118.36
P.weinmaniifolia_VX,118.61
P.weinmaniifolia_VX,118.77
P.weinmaniifolia_RX,119.45
P.weinmaniifolia_RX,119.52
P.weinmaniifolia_RX,119.7
P.weinmaniifolia_RX,120.45
P.weinmaniifolia_RX,120.45
P.weinmaniifolia_VX,120.45
P.weinmaniifolia_RX,121.37
P.weinmaniifolia_VX,121.65
P.weinmaniifolia_VX,121.65
P.weinmaniifolia_RX,122.41
P.weinmaniifolia_RX,122.6
P.weinmaniifolia_VX,122.6
P.weinmaniifolia_VX,122.66
P.weinmaniifolia_RX,123.8
P.weinmaniifolia_VX,123.84
P.weinmaniifolia_VX,124.08
P.weinmaniifolia_RX,124.3
P.weinmaniifolia_RX,124.75
P.weinmaniifolia_RX,124.81
P.weinmaniifolia_RX,125.03
P.weinmaniifolia_RX,125.4
P.weinmaniifolia_RX,125.64
P.weinmaniifolia_RX,125.86
P.weinmaniifolia_RX,126.02
P.weinmaniifolia_RX,126.17
P.weinmaniifolia_RX,126.57
P.weinmaniifolia_RX,126.75
P.weinmaniifolia_VX,126.9
P.weinmaniifolia_RX,126.95
P.weinmaniifolia_VX,126.95
P.weinmaniifolia_RX,127.88
P.weinmaniifolia_RX,128.31
P.weinmaniifolia_VX,129.19
P.weinmaniifolia_RX,129.32
P.weinmaniifolia_RX,129.32
P.weinmaniifolia_RX,129.32
P.weinmaniifolia_RX,129.39
P.weinmaniifolia_VX,129.48
P.weinmaniifolia_RX,129.5
P.weinmaniifolia_RX,130.4
P.weinmaniifolia_RX,130.63
P.weinmaniifolia_RX,131.2
P.weinmaniifolia_RX,131.25
P.weinmaniifolia_VX,131.82
P.weinmaniifolia_RX,132.85
P.weinmaniifolia_RX,133.35
P.weinmaniifolia_RX,133.4
P.weinmaniifolia_VX,133.71
P.weinmaniifolia_RX,134.18
P.weinmaniifolia_VX,134.18
P.weinmaniifolia_RX,134.68
P.weinmaniifolia_RX,134.68
P.weinmaniifolia_VX,134.68
P.weinmaniifolia_RX,135.5
P.weinmaniifolia_VX,136.23
P.weinmaniifolia_RX,137.58
P.weinmaniifolia_RX,137.63
P.weinmaniifolia_RX,137.79
P.weinmaniifolia_RX,137.9
P.weinmaniifolia_VX,137.9
P.weinmaniifolia_VX,138.05
P.weinmaniifolia_RX,138.24
P.weinmaniifolia_RX,138.99
P.weinmaniifolia_RX,139.45
P.weinmaniifolia_RX,139.78
P.weinmaniifolia_VX,139.78
P.weinmaniifolia_VX,139.8
P.weinmaniifolia_VX,139.8
P.weinmaniifolia_RX,139.85
